process,ramp_months,month,realized_fraction,monthly_net_ramped,cumulative_net_ramped,cumulative_net_instant
Invoice matching (3-way),6,1,0.166667,1879.17,-38120.83,-25725.00
Invoice matching (3-way),6,2,0.333333,4358.33,-33762.50,-11450.00
Invoice matching (3-way),6,3,0.5,6837.50,-26925.00,2825.00
Invoice matching (3-way),6,4,0.666667,9316.67,-17608.33,17100.00
Invoice matching (3-way),6,5,0.833333,11795.83,-5812.50,31375.00
Invoice matching (3-way),6,6,1,14275.00,8462.50,45650.00
Invoice matching (3-way),6,7,1,14275.00,22737.50,59925.00
Invoice matching (3-way),6,8,1,14275.00,37012.50,74200.00
Invoice matching (3-way),6,9,1,14275.00,51287.50,88475.00
Invoice matching (3-way),6,10,1,14275.00,65562.50,102750.00
Invoice matching (3-way),6,11,1,14275.00,79837.50,117025.00
Invoice matching (3-way),6,12,1,14275.00,94112.50,131300.00
Invoice matching (3-way),6,13,1,14275.00,108387.50,145575.00
Invoice matching (3-way),6,14,1,14275.00,122662.50,159850.00
Invoice matching (3-way),6,15,1,14275.00,136937.50,174125.00
Invoice matching (3-way),6,16,1,14275.00,151212.50,188400.00
Invoice matching (3-way),6,17,1,14275.00,165487.50,202675.00
Invoice matching (3-way),6,18,1,14275.00,179762.50,216950.00
Invoice matching (3-way),6,19,1,14275.00,194037.50,231225.00
Invoice matching (3-way),6,20,1,14275.00,208312.50,245500.00
Invoice matching (3-way),6,21,1,14275.00,222587.50,259775.00
Invoice matching (3-way),6,22,1,14275.00,236862.50,274050.00
Invoice matching (3-way),6,23,1,14275.00,251137.50,288325.00
Invoice matching (3-way),6,24,1,14275.00,265412.50,302600.00
Invoice matching (3-way),6,25,1,14275.00,279687.50,316875.00
Invoice matching (3-way),6,26,1,14275.00,293962.50,331150.00
Invoice matching (3-way),6,27,1,14275.00,308237.50,345425.00
Invoice matching (3-way),6,28,1,14275.00,322512.50,359700.00
Invoice matching (3-way),6,29,1,14275.00,336787.50,373975.00
Invoice matching (3-way),6,30,1,14275.00,351062.50,388250.00
Invoice matching (3-way),6,31,1,14275.00,365337.50,402525.00
Invoice matching (3-way),6,32,1,14275.00,379612.50,416800.00
Invoice matching (3-way),6,33,1,14275.00,393887.50,431075.00
Invoice matching (3-way),6,34,1,14275.00,408162.50,445350.00
Invoice matching (3-way),6,35,1,14275.00,422437.50,459625.00
Invoice matching (3-way),6,36,1,14275.00,436712.50,473900.00
